code,title,section,reports_to_code,tier,description
SECB,Security Branch Director,Operations,OSC,core,"Directs facility security operations during the incident: access control, crowd/traffic control, and law enforcement coordination."
ACU,Access Control Unit Leader,Operations,SECB,expansion,Controls facility entry/exit points and restricts access to designated areas during the incident.
CCTL,Crowd Control Unit Leader,Operations,SECB,expansion,"Manages family, visitor, and media crowds at facility entrances and perimeter during the incident."
TCTL,Traffic Control Unit Leader,Operations,SECB,expansion,"Manages vehicle traffic flow around the facility, including ambulance and emergency vehicle access."
SRCHU,Search Unit Leader,Operations,SECB,expansion,"Coordinates facility searches for hazards, suspicious items, or missing/wandering patients in coordination with law enforcement."
LEIU,Law Enforcement Interface Unit Leader,Operations,SECB,expansion,Serves as the on-site point of contact for arriving law enforcement units.
HZMB,HazMat Branch Director,Operations,OSC,core,"Directs response to hazardous material exposure, contamination, or spill events affecting the facility."
DMU,Detection & Monitoring Unit Leader,Operations,HZMB,expansion,Monitors for hazardous material presence and spread using available detection equipment.
SRU,Spill Response Unit Leader,Operations,HZMB,expansion,Directs containment and cleanup of a hazardous material spill within the facility.
VDU,Victim Decontamination Unit Leader,Operations,HZMB,expansion,Directs decontamination of contaminated patients before they enter clinical treatment areas.
FDU,Facility/Equipment Decontamination Unit Leader,Operations,HZMB,expansion,Directs decontamination of affected facility areas and equipment.
BCB,Business Continuity Branch Director,Operations,OSC,expansion,"Directs efforts to maintain or restore critical business and clinical operations (records, IT, billing) during the incident."
ITSU,IT Systems and Applications Unit Leader,Operations,BCB,expansion,"Maintains or restores IT systems and clinical applications (EHR, order entry) needed to sustain operations."
SCU,Services Continuity Unit Leader,Operations,BCB,expansion,"Maintains continuity of essential support services (dietary, environmental services, materials management) during the incident."
RMU,Records Management Unit Leader,Operations,BCB,expansion,Protects and manages critical facility and patient records during the incident.
PFAB,Patient Family Assistance Branch Director,Operations,OSC,core,"Oversees patient and family support operations during the incident, including reunification and social services."
SSU,Social Services Unit Leader,Operations,PFAB,expansion,Coordinates social work and support services for affected patients and families.
FRU,Family Reunification Unit Leader,Operations,PFAB,core,"Executes patient-family reunification: holding area, identity verification, and release process."
PSC,Planning Section Chief,Planning,IC,core,"Collects and evaluates incident information, tracks resource status, and develops the Incident Action Plan."
RESU,Resources Unit Leader,Planning,PSC,core,Tracks the status and availability of personnel and equipment committed to the incident.
PTM,Personnel Tracking Manager,Planning,RESU,expansion,Tracks the status and location of all personnel committed to the incident.
MTM,Materiel Tracking Manager,Planning,RESU,expansion,Tracks the status and location of equipment and supplies committed to the incident.
SITU,Situation Unit Leader,Planning,PSC,core,Maintains the real-time incident status board and overall situational picture.
PATM,Patient Tracking Manager,Planning,SITU,expansion,"Tracks the real-time location, status, and disposition of every patient involved in the incident."
BTM,Bed Tracking Manager,Planning,SITU,expansion,Tracks real-time bed availability and capacity across the facility during the incident.
DOCU,Documentation Unit Leader,Planning,PSC,core,Maintains the incident log and archives records for the After Action Review.
DEMU,Demobilization Unit Leader,Planning,PSC,expansion,"Plans and coordinates the safe, orderly release of resources and staff as the incident winds down."
LSC,Logistics Section Chief,Logistics,IC,core,"Provides the facilities, equipment, and support resources needed to sustain the incident response."
SVCB,Service Branch Director,Logistics,LSC,core,"Directs communications, IT equipment, and staff food/water services supporting the response."
COMMU,Communications Unit Leader,Logistics,SVCB,expansion,Operates radios and internal communications equipment during the incident.
ITEQU,IT/IS Equipment Unit Leader,Logistics,SVCB,expansion,Provides and maintains IT equipment needed to support the incident response.
FSU,Food Services Unit Leader,Logistics,SVCB,expansion,"Coordinates food and water for staff, patients, and responders during an extended incident."
SUPB,Support Branch Director,Logistics,LSC,core,"Directs supply, transportation, employee health, and credentialing support for the incident response."
EHWU,Employee Health & Well-Being Unit Leader,Logistics,SUPB,expansion,Monitors staff wellbeing and manages rest/rotation during an extended incident.
SUPU,Supply Unit Leader,Logistics,SUPB,expansion,Manages incident-related medical and non-medical supplies.
TRANU,Transportation Unit Leader,Logistics,SUPB,expansion,"Coordinates vehicles and transport needed for patient movement, evacuation, or resource delivery."
LPCU,Labor Pool & Credentialing Unit Leader,Logistics,SUPB,expansion,Verifies credentials of arriving volunteer or mutual-aid clinical staff before assignment.
EFCU,Employee Family Care Unit Leader,Logistics,SUPB,expansion,Supports staff members whose own families are affected by the incident.
FSC,Finance/Administration Section Chief,Finance,IC,core,"Tracks incident-related costs and documentation required for insurance, reimbursement, or regulatory claims."
TIMEU,Time Unit Leader,Finance,FSC,core,Records staff hours worked during the incident for payroll and reimbursement documentation.
PROCU,Procurement Unit Leader,Finance,FSC,expansion,Handles emergency purchasing and vendor contracts during the incident.
COMPU,Compensation/Claims Unit Leader,Finance,FSC,expansion,"Documents injury, damage, or liability claims arising from the incident."
COSTU,Cost Unit Leader,Finance,FSC,expansion,"Tracks total incident costs for budgeting, grant, and reimbursement purposes."
